Datum/Uhrzeit;Seed;Target Dataset;Unknown Dataset;Samples pro Zielklasse;Anzahl Unknown Samples;Base_LR;Base_BatchSize;Strat_LR;Strat_BatchSize;Base_Accuracy;Base_Balanced_Acc;Base_Precision;Base_Recall;Base_F1_Score;Base_AUC_ROC;Strat_Accuracy;Strat_Balanced_Acc;Strat_Precision;Strat_Recall;Strat_F1_Score;Strat_AUC_ROC;Verbesserung_Acc
2026-08-18 12:01:39;42;PathMNIST;BloodMNIST;10;450;0.000158;16;5.6e-05;16;86.6;82.05;84.11;82.05;81.86;98.67;90.71;87.3;87.47;87.3;87.09;98.91;4.11
2026-08-18 12:46:12;100;PathMNIST;BloodMNIST;10;450;0.00022;16;0.00022;16;84.36;81.5;79.88;81.5;80.2;97.61;78.94;76.52;74.59;76.52;74.89;94.94;-5.42
2026-08-18 13:30:52;150;PathMNIST;BloodMNIST;10;450;0.000367;32;0.00028;32;88.4;84.06;85.45;84.06;84.36;97.6;86.3;79.49;83.63;79.49;79.89;93.37;-2.1
2026-08-18 14:13:03;42;PathMNIST;BloodMNIST;25;450;0.000158;16;0.000107;16;89.42;83.99;88.13;83.99;84.66;98.67;91.3;88.09;88.52;88.09;88.17;98.63;1.88
2026-08-18 14:58:01;100;PathMNIST;BloodMNIST;25;450;0.00022;16;0.000141;16;86.95;81.52;83.95;81.52;81.5;94.02;89.37;83.01;86.81;83.01;83.39;98.97;2.42
2026-08-18 15:42:57;150;PathMNIST;BloodMNIST;25;450;0.00028;32;0.000123;32;91.73;87.92;90.09;87.92;87.64;97.82;89.55;83.73;88.46;83.73;84.24;97.77;-2.17
2026-08-18 17:31:27;42;PathMNIST;BloodMNIST;100;450;8.2e-05;16;7.3e-05;32;92.17;87.61;90.7;87.61;88.2;98.99;94.0;91.79;91.78;91.79;91.75;99.19;1.82
2026-08-18 19:14:43;100;PathMNIST;BloodMNIST;100;450;0.000122;32;2.2e-05;16;92.24;87.48;89.74;87.48;87.75;98.69;92.95;88.99;90.39;88.99;89.23;99.02;0.71
2026-08-18 20:51:25;150;PathMNIST;BloodMNIST;100;450;0.000123;32;0.000123;32;93.31;90.54;92.15;90.54;89.87;98.98;93.27;90.13;92.36;90.13;90.52;99.14;-0.04
2026-08-19 11:10:40;42;PathMNIST;BloodMNIST;50;450;8.2e-05;16;8.2e-05;16;92.49;89.05;89.2;89.05;88.88;99.03;92.91;89.77;90.45;89.77;89.83;98.88;0.42
2026-08-19 11:56:46;100;PathMNIST;BloodMNIST;50;450;0.000141;16;2.2e-05;16;90.68;85.09;88.63;85.09;86.09;99.01;92.19;88.32;89.39;88.32;88.72;99.12;1.5
2026-08-19 12:48:44;150;PathMNIST;BloodMNIST;50;450;9.4e-05;32;0.000123;32;89.89;86.58;87.06;86.58;86.21;98.61;91.87;87.55;89.72;87.55;88.03;99.06;1.98
2026-08-19 15:27:19;42;PathMNIST;BloodMNIST;250;450;7.3e-05;32;7.3e-05;32;94.35;92.01;92.02;92.01;91.99;99.04;95.71;93.71;94.77;93.71;93.92;99.16;1.36
2026-08-19 17:17:36;100;PathMNIST;BloodMNIST;250;450;3.2e-05;16;3.2e-05;16;93.65;91.49;92.11;91.49;91.55;99.37;93.75;91.38;91.31;91.38;91.11;98.95;0.1
2026-08-19 18:52:35;150;PathMNIST;BloodMNIST;250;450;9.4e-05;32;3e-05;16;94.29;92.15;93.61;92.15;92.29;98.98;94.09;90.4;92.72;90.4;90.83;99.43;-0.19
2026-08-19 23:35:03;42;PathMNIST;BloodMNIST;1000;450;5.6e-05;16;5.6e-05;16;94.28;91.76;92.84;91.76;91.45;99.64;94.89;92.5;93.04;92.5;92.37;99.48;0.61
2026-08-20 02:09:40;100;PathMNIST;BloodMNIST;1000;450;2.3e-05;32;2.3e-05;32;93.83;91.77;92.59;91.77;91.61;99.26;94.44;92.43;92.83;92.43;92.21;99.32;0.61
2026-08-20 04:43:52;150;PathMNIST;BloodMNIST;1000;450;1.4e-05;32;1.4e-05;32;92.56;91.08;92.1;91.08;90.81;99.17;94.3;91.39;93.83;91.39;91.69;98.82;1.74
2026-08-20 11:20:04;200;PathMNIST;BloodMNIST;250;450;7.2e-05;16;0.000109;16;93.47;89.93;91.44;89.93;90.25;99.17;94.03;91.1;91.34;91.1;90.94;99.48;0.56
2026-08-20 12:28:03;200;PathMNIST;BloodMNIST;50;450;0.000109;16;7.9e-05;16;91.87;88.28;88.82;88.28;88.21;98.29;90.84;87.3;87.11;87.3;86.56;98.78;-1.03
2026-08-20 13:11:27;250;PathMNIST;BloodMNIST;50;450;0.000145;16;0.000173;32;91.8;89.56;89.84;89.56;89.54;99.52;89.89;85.12;87.84;85.12;85.72;99.0;-1.91
2026-08-20 15:52:07;250;PathMNIST;BloodMNIST;250;450;0.000145;32;3.6e-05;16;94.99;92.8;94.09;92.8;93.19;99.5;94.67;91.68;93.88;91.68;91.84;98.95;-0.32
2026-08-20 19:03:48;42;PathMNIST;BloodMNIST;450;450;7.3e-05;32;5.6e-05;16;94.48;91.64;93.49;91.64;91.73;99.11;93.29;90.52;90.81;90.52;89.91;98.8;-1.2
2026-08-20 21:47:48;100;PathMNIST;BloodMNIST;450;450;0.000122;32;2.2e-05;16;95.35;93.74;93.82;93.74;93.68;99.46;94.0;91.39;93.51;91.39;91.4;99.29;-1.35
2026-08-21 00:44:43;200;PathMNIST;BloodMNIST;1000;450;5.2e-05;16;5.2e-05;16;92.21;88.46;90.83;88.46;88.93;99.26;93.47;90.54;91.1;90.54;90.48;98.88;1.25
2026-08-21 03:23:35;250;PathMNIST;BloodMNIST;1000;450;3.6e-05;16;3.6e-05;16;93.73;91.18;91.47;91.18;90.96;99.21;94.0;90.87;93.14;90.87;91.05;99.15;0.26
2026-08-21 05:56:26;300;PathMNIST;BloodMNIST;1000;450;8e-05;32;3.8e-05;32;94.26;92.25;92.89;92.25;92.15;99.24;93.3;91.01;92.28;91.01;91.06;99.16;-0.96
2026-08-21 08:34:31;350;PathMNIST;BloodMNIST;1000;450;7.3e-05;32;3.7e-05;16;95.47;93.6;94.15;93.6;93.78;99.6;95.25;93.33;93.85;93.33;93.48;99.55;-0.22
2026-08-21 10:15:58;200;PathMNIST;BloodMNIST;50;450;7.2e-05;16;5.2e-05;16;90.17;87.11;86.72;87.11;86.73;98.18;93.47;90.25;91.51;90.25;90.33;98.75;3.3
2026-08-21 10:54:36;250;PathMNIST;BloodMNIST;50;450;0.000145;32;0.000145;32;93.23;90.33;91.38;90.33;90.4;99.49;91.39;88.63;87.55;88.63;87.77;99.03;-1.84
2026-08-21 11:25:57;300;PathMNIST;BloodMNIST;50;450;0.000165;32;8e-05;32;88.87;83.36;86.93;83.36;83.27;98.57;87.74;82.19;84.71;82.19;82.44;98.02;-1.13
2026-08-21 11:59:28;350;PathMNIST;BloodMNIST;50;450;7.3e-05;32;4.3e-05;16;91.57;89.78;88.86;89.78;89.24;99.21;93.09;89.47;91.53;89.47;89.69;98.99;1.52
2026-08-21 12:33:26;400;PathMNIST;BloodMNIST;50;450;0.00012;16;0.00012;16;90.72;86.58;86.18;86.58;85.17;99.18;90.19;83.95;86.27;83.95;83.89;98.07;-0.53
2026-08-21 13:18:08;450;PathMNIST;BloodMNIST;50;450;0.000122;32;0.000178;16;88.57;82.64;86.53;82.64;83.25;98.28;91.49;87.18;88.44;87.18;86.51;98.94;2.92
2026-08-21 13:52:12;500;PathMNIST;BloodMNIST;50;450;0.000131;32;5.4e-05;16;90.21;86.22;87.52;86.22;85.99;99.01;91.63;86.71;90.2;86.71;87.36;98.87;1.42
2026-08-21 14:41:19;550;PathMNIST;BloodMNIST;50;450;5.4e-05;16;5.4e-05;16;91.46;87.51;88.8;87.51;87.7;99.0;92.06;89.24;90.45;89.24;88.19;98.81;0.6
