Datum/Uhrzeit;Seed;Target Dataset;Unknown Dataset;Samples pro Zielklasse;Anzahl Unknown Samples;Base_LR;Base_BatchSize;Strat_LR;Strat_BatchSize;Base_Accuracy;Base_Balanced_Acc;Base_Precision;Base_Recall;Base_F1_Score;Base_AUC_ROC;Strat_Accuracy;Strat_Balanced_Acc;Strat_Precision;Strat_Recall;Strat_F1_Score;Strat_AUC_ROC;Verbesserung_Acc
2026-08-26 15:57:04;42;PathMNIST;BloodMNIST;50;0;0.000158;16;0.000158;16;91.23;89.75;89.82;89.75;89.45;99.26;90.77;85.13;89.68;85.13;85.85;98.32;-0.46
2026-08-26 16:16:45;42;PathMNIST;BloodMNIST;50;50;0.000158;16;5.6e-05;16;91.23;89.75;89.82;89.75;89.45;99.26;92.23;88.99;90.8;88.99;89.36;99.12;1.0
2026-08-26 16:36:57;42;PathMNIST;BloodMNIST;50;150;0.000158;16;0.000158;16;91.23;89.75;89.82;89.75;89.45;99.26;88.97;85.73;85.24;85.73;85.07;98.86;-2.26
2026-08-26 16:58:29;42;PathMNIST;BloodMNIST;50;300;0.000158;16;5.6e-05;16;91.23;89.75;89.82;89.75;89.45;99.26;93.16;89.42;91.68;89.42;89.97;99.2;1.94
2026-08-26 17:20:00;42;PathMNIST;BloodMNIST;50;450;0.000158;16;5.6e-05;16;91.23;89.75;89.82;89.75;89.45;99.26;92.76;90.28;90.21;90.28;90.09;99.29;1.53
2026-08-26 17:42:07;42;PathMNIST;BloodMNIST;50;600;0.000158;16;5.6e-05;16;91.23;89.75;89.82;89.75;89.45;99.26;90.18;87.51;87.02;87.51;87.18;98.66;-1.04
2026-08-26 18:05:28;42;PathMNIST;BloodMNIST;50;900;0.000158;16;5.6e-05;16;91.23;89.75;89.82;89.75;89.45;99.26;90.29;84.93;86.67;84.93;85.4;98.74;-0.93
2026-08-26 18:31:24;42;PathMNIST;BloodMNIST;50;1500;0.000158;16;5.6e-05;16;91.23;89.75;89.82;89.75;89.45;99.26;92.6;89.83;89.71;89.83;89.73;99.16;1.38
2026-08-26 23:25:56;150;PathMNIST;BloodMNIST;50;0;0.000301;16;0.000301;16;84.75;79.06;82.61;79.06;79.3;96.11;89.25;82.84;87.87;82.84;83.62;93.81;4.5
2026-08-26 23:45:53;150;PathMNIST;BloodMNIST;50;50;0.000301;16;0.000301;16;84.75;79.06;82.61;79.06;79.3;96.11;85.13;79.95;79.88;79.95;79.3;95.52;0.38
2026-08-27 00:05:56;150;PathMNIST;BloodMNIST;50;150;0.000301;16;0.000367;32;84.75;79.06;82.61;79.06;79.3;96.11;81.94;79.71;78.51;79.71;77.48;96.79;-2.81
2026-08-27 00:26:58;150;PathMNIST;BloodMNIST;50;300;0.000301;16;0.000301;16;84.75;79.06;82.61;79.06;79.3;96.11;91.67;88.12;89.29;88.12;87.81;99.23;6.92
2026-08-27 00:48:15;150;PathMNIST;BloodMNIST;50;450;0.000301;16;0.000367;32;84.75;79.06;82.61;79.06;79.3;96.11;83.27;78.17;80.01;78.17;77.76;90.97;-1.48
2026-08-27 01:10:31;150;PathMNIST;BloodMNIST;50;600;0.000301;16;0.000301;16;84.75;79.06;82.61;79.06;79.3;96.11;88.47;82.35;84.87;82.35;81.83;97.96;3.72
2026-08-27 01:33:38;150;PathMNIST;BloodMNIST;50;900;0.000301;16;0.000367;32;84.75;79.06;82.61;79.06;79.3;96.11;88.73;82.4;86.47;82.4;83.18;98.1;3.98
2026-08-27 01:59:38;150;PathMNIST;BloodMNIST;50;1500;0.000301;16;0.000301;16;84.75;79.06;82.61;79.06;79.3;96.11;87.66;81.42;85.45;81.42;81.58;94.72;2.91
2026-08-27 02:31:58;150;PathMNIST;BloodMNIST;50;3000;0.000301;16;0.000301;16;84.75;79.06;82.61;79.06;79.3;96.11;85.04;79.16;78.98;79.16;78.84;92.92;0.29
2026-08-27 03:16:59;150;PathMNIST;BloodMNIST;50;6000;0.000301;16;0.000301;16;84.75;79.06;82.61;79.06;79.3;96.11;86.8;80.95;82.9;80.95;81.25;95.38;2.05
2026-08-27 04:17:33;150;PathMNIST;BloodMNIST;50;10000;0.000301;16;1.4e-05;32;84.75;79.06;82.61;79.06;79.3;96.11;92.31;89.55;90.89;89.55;89.29;98.64;7.56
2026-08-27 10:54:58;150;PathMNIST;BloodMNIST;50;11959;0.000301;16;1.4e-05;32;84.75;79.06;82.61;79.06;79.3;96.11;92.59;89.7;91.95;89.7;89.4;98.18;7.84
2026-08-27 18:30:35;100;PathMNIST;BloodMNIST;50;0;0.00022;16;0.000122;32;90.25;86.71;87.85;86.71;86.94;98.41;89.93;84.13;87.84;84.13;84.42;98.07;-0.32
2026-08-27 19:07:02;100;PathMNIST;BloodMNIST;50;50;0.00022;16;0.000122;32;90.25;86.71;87.85;86.71;86.94;98.41;92.38;87.22;91.11;87.22;87.98;99.12;2.13
2026-08-27 19:44:59;100;PathMNIST;BloodMNIST;50;150;0.00022;16;0.000122;32;90.25;86.71;87.85;86.71;86.94;98.41;91.07;87.05;88.91;87.05;87.07;98.07;0.82
2026-08-27 20:16:05;100;PathMNIST;BloodMNIST;50;300;0.00022;16;0.000122;32;90.25;86.71;87.85;86.71;86.94;98.41;91.52;88.82;89.65;88.82;88.47;99.16;1.27
2026-08-27 20:45:08;100;PathMNIST;BloodMNIST;50;450;0.00022;16;0.000141;16;90.25;86.71;87.85;86.71;86.94;98.41;92.24;88.59;90.09;88.59;88.87;98.54;1.99
2026-08-27 21:23:03;100;PathMNIST;BloodMNIST;50;600;0.00022;16;0.000122;32;90.25;86.71;87.85;86.71;86.94;98.41;90.93;87.83;88.01;87.83;87.43;98.52;0.68
2026-08-27 22:03:52;100;PathMNIST;BloodMNIST;50;900;0.00022;16;0.000141;16;90.25;86.71;87.85;86.71;86.94;98.41;92.16;88.88;89.44;88.88;88.84;98.5;1.91
2026-08-27 22:31:09;100;PathMNIST;BloodMNIST;50;1500;0.00022;16;0.000122;32;90.25;86.71;87.85;86.71;86.94;98.41;92.77;88.09;91.17;88.09;88.19;98.43;2.52
2026-08-27 23:04:05;100;PathMNIST;BloodMNIST;50;3000;0.00022;16;0.000122;32;90.25;86.71;87.85;86.71;86.94;98.41;91.16;88.09;88.75;88.09;87.39;97.86;0.91
2026-08-27 23:48:51;100;PathMNIST;BloodMNIST;50;6000;0.00022;16;0.000122;32;90.25;86.71;87.85;86.71;86.94;98.41;91.77;86.72;90.73;86.72;87.1;98.57;1.52
2026-08-28 00:50:08;100;PathMNIST;BloodMNIST;50;10000;0.00022;16;0.000122;32;90.25;86.71;87.85;86.71;86.94;98.41;89.58;86.12;86.53;86.12;85.59;97.15;-0.67
2026-08-28 01:59:34;100;PathMNIST;BloodMNIST;50;11959;0.00022;16;0.000122;32;90.25;86.71;87.85;86.71;86.94;98.41;90.78;86.84;89.41;86.84;87.38;98.82;0.53
2026-08-28 10:13:14;42;PathMNIST;BloodMNIST;50;3000;0.000158;16;5.6e-05;16;91.23;89.75;89.82;89.75;89.45;99.26;91.81;86.65;90.1;86.65;87.4;98.95;0.58
2026-08-28 11:18:22;42;PathMNIST;BloodMNIST;50;6000;0.000158;16;5.6e-05;16;91.23;89.75;89.82;89.75;89.45;99.26;93.26;90.49;91.32;90.49;90.8;99.2;2.03
2026-08-28 12:32:44;42;PathMNIST;BloodMNIST;50;10000;0.000158;16;5.6e-05;16;91.23;89.75;89.82;89.75;89.45;99.26;91.94;87.75;89.35;87.75;88.2;99.11;0.71
2026-08-28 13:45:21;42;PathMNIST;BloodMNIST;50;11959;0.000158;16;5.6e-05;16;91.23;89.75;89.82;89.75;89.45;99.26;93.87;91.7;91.47;91.7;91.53;99.4;2.65
